labid	subid	CDI.form	CDI.agerange	CDI.agedays	vocab_nwords	standardized.score.CDI	CDI.error	Notes	subid_unique	standardized.score.CDI.num	language	language_zone	trial_order	method	age_days	age_mo	age_group	nae	gender	second_session	CDI.agemin	CDI.agemax	IDS_pref	CDI.nwords	CDI.prop	z_age_months	CDI.z_age_months	CDI.grouped.z_age_months	z_standardized_CDI	z_vocab_nwords	percentile
babylablmu	31	FRAKIS	18	589	25	26-50	TRUE	already aged out; filled out pen-and-paper version	babylablmu:31	NA	German	Other	1	eyetracking	416	13.6673511293634	12-15 mo	FALSE	M	FALSE	502	594	0.753913043478261	NA	NA	3.86672201805978	-1.7959261003179	1.08888237019654	NA	-0.908004635749006	33
babylablmu	31	FRAKIS	24	723	180	26-50	FALSE	filled out web-based version	babylablmu:31	NA	German	Other	1	eyetracking	416	13.6673511293634	12-15 mo	FALSE	M	FALSE	685	776	0.753913043478261	NA	NA	3.86672201805978	2.60653796539052	-0.317680456906903	NA	0.119493230172616	43
babylablmu	33	FRAKIS	18	535	126	91-100	FALSE	filled out web-based version	babylablmu:33	NA	German	Other	1	eyetracking	360	11.8275154004107	9-12 mo	FALSE	F	FALSE	502	594	0.268965517241379	NA	NA	2.02688628910701	-3.5700534103795	-0.685244939865064	NA	-0.238473768277498	86
babylablmu	33	FRAKIS	24	695	399	76-90	TRUE	filled out web-based version when child was too young (younger than 17;15)	babylablmu:33	NA	German	Other	1	eyetracking	360	11.8275154004107	9-12 mo	FALSE	F	FALSE	685	776	0.268965517241379	NA	NA	2.02688628910701	1.68662010091413	-1.23759832138329	NA	1.57124827944252	89
babylablmu	34	FRAKIS	18	589	10	11-25	TRUE	already aged out; filled out web-based version	babylablmu:34	NA	German	Other	1	eyetracking	360	11.8275154004107	9-12 mo	FALSE	M	FALSE	502	594	-0.0393873085339169	NA	NA	2.02688628910701	-1.7959261003179	1.08888237019654	NA	-1.00743991309626	20
babylablmu	34	FRAKIS	24	722	36	1-10	FALSE	filled out web-based version	babylablmu:34	NA	German	Other	1	eyetracking	360	11.8275154004107	9-12 mo	FALSE	M	FALSE	685	776	-0.0393873085339169	NA	NA	2.02688628910701	2.57368375594493	-0.350534666352488	NA	-0.83508543236102	8
babylablmu	35	FRAKIS	24	744	374	51-75	FALSE	filled out web-based version a second time on another day and completed it	babylablmu:35	NA	German	Other	1	eyetracking	391	12.8459958932238	12-15 mo	FALSE	F	FALSE	685	776	0.171114991269643	NA	NA	3.04536678192015	3.29647636374781	0.372257941450386	NA	1.4055228171971	75
babylablmu	36	FRAKIS	18	581	42	26-50	TRUE	already aged out; filled out web-based version	babylablmu:36	NA	German	Other	1	eyetracking	381	12.517453798768	12-15 mo	FALSE	M	FALSE	502	594	0.0881514999162058	NA	NA	2.7168246874643	-2.05875977588258	0.826048694631856	NA	-0.795311321422119	45
babylablmu	36	FRAKIS	24	733	329	76-90	FALSE	filled out web-based version	babylablmu:36	NA	German	Other	1	eyetracking	381	12.517453798768	12-15 mo	FALSE	M	FALSE	685	776	0.0881514999162058	NA	NA	2.7168246874643	2.93508005984637	0.0108616375489489	NA	1.10721698515534	70
babylablmu	37	FRAKIS	24	722	38	1-10	FALSE	filled out web-based version	babylablmu:37	NA	German	Other	1	eyetracking	413	13.5687885010267	12-15 mo	FALSE	M	FALSE	685	776	0.201308505284348	NA	NA	3.76815938972303	2.57368375594493	-0.350534666352488	NA	-0.821827395381387	9
babylablmu	38	FRAKIS	18	571	144	51-75	TRUE	already aged out; filled out pen-and-paper version	babylablmu:38	NA	German	Other	1	eyetracking	433	14.2258726899384	12-15 mo	FALSE	F	FALSE	502	594	0.608889715454714	NA	NA	4.42524357863473	-2.38730187033843	0.497506600176004	NA	-0.119151435460793	82
babylablmu	38	FRAKIS	24	729	364	51-75	FALSE	filled out web-based version	babylablmu:38	NA	German	Other	1	eyetracking	433	14.2258726899384	12-15 mo	FALSE	F	FALSE	685	776	0.608889715454714	NA	NA	4.42524357863473	2.80366322206403	-0.120555200233392	NA	1.33923263229893	76
babylablmu	39	FRAKIS	24	733	21	1-10	FALSE	filled out web-based version	babylablmu:39	NA	German	Other	1	eyetracking	442	14.5215605749487	12-15 mo	FALSE	F	FALSE	685	776	0.135552913198573	NA	NA	4.720931463645	2.93508005984637	0.0108616375489489	NA	-0.934520709708274	4
babylablmu	42	FRAKIS	18	570	84	51-75	TRUE	already aged out; filled out web-based version	babylablmu:42	NA	German	Other	4	eyetracking	411	13.5030800821355	12-15 mo	FALSE	F	FALSE	502	594	-0.490023942537909	NA	NA	3.70245097083186	-2.42015607978402	0.464652390730418	NA	-0.516892544849808	71
babylablmu	42	FRAKIS	24	736	472	76-90	FALSE	filled out web-based version	babylablmu:42	NA	German	Other	4	eyetracking	411	13.5030800821355	12-15 mo	FALSE	F	FALSE	685	776	-0.490023942537909	NA	NA	3.70245097083186	3.03364268818313	0.109424265885705	NA	2.05516662919916	93
babylablmu	45	FRAKIS	24	736	135	26-50	FALSE	filled out web-based version	babylablmu:45	NA	German	Other	3	eyetracking	399	13.1088295687885	12-15 mo	FALSE	M	FALSE	685	776	0.816930137684855	NA	NA	3.30820045748484	3.03364268818313	0.109424265885705	NA	-0.178812601869146	30
babylablmu	47	FRAKIS	18	554	66	51-75	FALSE	filled out web-based version	babylablmu:47	NA	German	Other	1	eyetracking	413	13.5687885010267	12-15 mo	FALSE	M	FALSE	502	594	-0.116783858147356	NA	NA	3.76815938972303	-2.94582343091338	-0.061014960398945	NA	-0.636214877666513	74
babylablmu	47	FRAKIS	24	711	500	91-100	TRUE	filled out web-based version when child was too young (younger than 23;15)	babylablmu:47	NA	German	Other	1	eyetracking	413	13.5687885010267	12-15 mo	FALSE	M	FALSE	685	776	-0.116783858147356	NA	NA	3.76815938972303	2.2122874520435	-0.711930970253926	NA	2.24077914691403	97
babylablmu	50	FRAKIS	18	567	11	11-25	TRUE	already aged out; filled out pen-and-paper version	babylablmu:50	NA	German	Other	2	eyetracking	436	14.3244353182752	12-15 mo	FALSE	M	FALSE	502	594	0.536643026004728	NA	NA	4.52380620697149	-2.51871870812078	0.366089762393663	NA	-1.00081089460644	27
babylablmu	50	FRAKIS	24	724	218	51-75	FALSE	filled out web-based version	babylablmu:50	NA	German	Other	2	eyetracking	436	14.3244353182752	12-15 mo	FALSE	M	FALSE	685	776	0.536643026004728	NA	NA	4.52380620697149	2.6393921748361	-0.284826247461318	NA	0.371395932785659	50
babylablmu	56	FRAKIS	18	562	37	26-50	TRUE	already aged out; filled out web-based version	babylablmu:56	NA	German	Other	1	eyetracking	430	14.1273100616016	12-15 mo	FALSE	F	FALSE	502	594	-0.390879478827362	NA	NA	4.32668095029798	-2.6829897553487	0.201818715165737	NA	-0.828456413871204	53
babylablmu	56	FRAKIS	24	744	222	26-50	FALSE	filled out web-based version	babylablmu:56	NA	German	Other	1	eyetracking	430	14.1273100616016	12-15 mo	FALSE	F	FALSE	685	776	-0.390879478827362	NA	NA	4.32668095029798	3.29647636374781	0.372257941450386	NA	0.397912006744926	46
babylablmu	58	FRAKIS	18	540	6	1-10	FALSE	filled out web-based version	babylablmu:58	NA	German	Other	1	eyetracking	286	9.39630390143737	9-12 mo	FALSE	F	FALSE	502	594	0.443357169740309	NA	NA	-0.404325209866293	-3.40578236315158	-0.520973892637138	NA	-1.03395598705553	27
babylablmu	58	FRAKIS	24	734	237	26-50	FALSE	filled out web-based version	babylablmu:58	NA	German	Other	1	eyetracking	286	9.39630390143737	9-12 mo	FALSE	F	FALSE	685	776	0.443357169740309	NA	NA	-0.404325209866293	2.96793426929196	0.0437158469945341	NA	0.49734728409218	51
babylablmu	59	FRAKIS	18	540	31	26-50	FALSE	filled out web-based version	babylablmu:59	NA	German	Other	2	eyetracking	329	10.8090349075975	9-12 mo	FALSE	F	FALSE	502	594	0.586936522539098	NA	NA	1.00840579629387	-3.40578236315158	-0.520973892637138	NA	-0.868230524810105	63
babylablmu	59	FRAKIS	24	723	309	51-75	FALSE	filled out web-based version	babylablmu:59	NA	German	Other	2	eyetracking	329	10.8090349075975	9-12 mo	FALSE	F	FALSE	685	776	0.586936522539098	NA	NA	1.00840579629387	2.60653796539052	-0.317680456906903	NA	0.974636615358998	69
babylablmu	60	FRAKIS	18	542	112	51-75	FALSE	filled out web-based version	babylablmu:60	NA	German	Other	3	eyetracking	313	10.2833675564682	9-12 mo	FALSE	F	FALSE	502	594	0.137631742095474	NA	NA	0.482738445164508	-3.34007394426041	-0.455265473745968	NA	-0.331280027134935	85
babylablmu	60	FRAKIS	24	732	308	51-75	FALSE	filled out web-based version	babylablmu:60	NA	German	Other	3	eyetracking	313	10.2833675564682	9-12 mo	FALSE	F	FALSE	685	776	0.137631742095474	NA	NA	0.482738445164508	2.90222585040079	-0.0219925718966363	NA	0.968007596869181	66
babylablmu	61	FRAKIS	18	544	3	1-10	FALSE	filled out web-based version	babylablmu:61	NA	German	Other	1	eyetracking	318	10.4476386036961	9-12 mo	FALSE	M	FALSE	502	594	0.653562653562654	NA	NA	0.647009492392434	-3.27436552536923	-0.389557054854797	NA	-1.05384304252498	9
babylablmu	61	FRAKIS	24	739	3	1-10	FALSE	filled out web-based version	babylablmu:61	NA	German	Other	1	eyetracking	318	10.4476386036961	9-12 mo	FALSE	M	FALSE	685	776	0.653562653562654	NA	NA	0.647009492392434	3.13220531651988	0.20798689422246	NA	-1.05384304252498	1
babylablmu	65	FRAKIS	18	542	8	11-25	FALSE	filled out web-based version	babylablmu:65	NA	German	Other	4	eyetracking	276	9.06776180698152	9-12 mo	FALSE	M	FALSE	502	594	0.121957098095927	NA	NA	-0.732867304322146	-3.34007394426041	-0.455265473745968	NA	-1.02069795007589	33
babylablmu	65	FRAKIS	24	732	41	11-25	FALSE	filled out web-based version	babylablmu:65	NA	German	Other	4	eyetracking	276	9.06776180698152	9-12 mo	FALSE	M	FALSE	685	776	0.121957098095927	NA	NA	-0.732867304322146	2.90222585040079	-0.0219925718966363	NA	-0.801940339911936	8
